filing_id,filing_type,issuer_name,exemption_type,filing_date,source_url,accession_number,cik,fetched_at,parser_version
"urn:tag:sec.gov,2008:accession-number=0001193125-26-347217",RegD,"Fossil Group, Inc. (0000883569) (Filer)",14(a)(12),2026-08-12,https://www.sec.gov/Archives/edgar/data/883569/000119312526347217/0001193125-26-347217-index.htm,,,2026-08-12T23:15:03Z,regd_scraper_pack_v1
"urn:tag:sec.gov,2008:accession-number=0002140399-26-000002",RegD,"Alpha Edison Quantum II, L.L.C. (0002140399) (Filer)",3(c),2026-08-12,https://www.sec.gov/Archives/edgar/data/2140399/000214039926000002/0002140399-26-000002-index.htm,,,2026-08-12T23:15:03Z,regd_scraper_pack_v1
"urn:tag:sec.gov,2008:accession-number=0002150061-26-000001",RegD,Skin Union Group Inc. (0002150061) (Filer),,2026-08-12,https://www.sec.gov/Archives/edgar/data/2150061/000215006126000001/0002150061-26-000001-index.htm,,,2026-08-12T23:15:03Z,regd_scraper_pack_v1
"urn:tag:sec.gov,2008:accession-number=0001681622-26-000069",RegD,Varex Imaging Corp (0001681622) (Filer),14(a)(12),2026-08-12,https://www.sec.gov/Archives/edgar/data/1681622/000168162226000069/0001681622-26-000069-index.htm,,,2026-08-12T23:15:03Z,regd_scraper_pack_v1
"urn:tag:sec.gov,2008:accession-number=0002055053-26-000003",RegD,"BTB Therapeutics, Inc. (0002055053) (Filer)",,2026-08-12,https://www.sec.gov/Archives/edgar/data/2055053/000205505326000003/0002055053-26-000003-index.htm,,,2026-08-12T23:15:03Z,regd_scraper_pack_v1
