row_number,external_id,raw_phone,rejection_reason,source
425,35172,,missing_phone,ooma_autodialer_csv
426,35171,,missing_phone,ooma_autodialer_csv
427,35170,,missing_phone,ooma_autodialer_csv
428,35169,,missing_phone,ooma_autodialer_csv
429,35168,,missing_phone,ooma_autodialer_csv
430,35167,,missing_phone,ooma_autodialer_csv
431,35166,,missing_phone,ooma_autodialer_csv
445,35152,,missing_phone,ooma_autodialer_csv
447,35149,,missing_phone,ooma_autodialer_csv
448,35148,,missing_phone,ooma_autodialer_csv
454,35142,,missing_phone,ooma_autodialer_csv
459,35135,,missing_phone,ooma_autodialer_csv
460,35134,,missing_phone,ooma_autodialer_csv
461,35133,,missing_phone,ooma_autodialer_csv
462,35132,,missing_phone,ooma_autodialer_csv
463,35129,,missing_phone,ooma_autodialer_csv
464,35128,,missing_phone,ooma_autodialer_csv
465,35127,,missing_phone,ooma_autodialer_csv
466,35126,,missing_phone,ooma_autodialer_csv
470,35120,,missing_phone,ooma_autodialer_csv
471,35119,,missing_phone,ooma_autodialer_csv
472,35118,,missing_phone,ooma_autodialer_csv
479,35111,,missing_phone,ooma_autodialer_csv
480,35108,,missing_phone,ooma_autodialer_csv
481,35107,,missing_phone,ooma_autodialer_csv
482,35106,,missing_phone,ooma_autodialer_csv
484,35104,,missing_phone,ooma_autodialer_csv
485,35103,,missing_phone,ooma_autodialer_csv
486,35102,,missing_phone,ooma_autodialer_csv
493,35095,,missing_phone,ooma_autodialer_csv
